FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7476.028170	7480.698670	46	2543.07	2718.02	174.95	2561.27	3.45374e+11	2.13553e+10	5	14	10	0.993812	0.988769
2	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	5419.700964	5423.075833	36	1490.53	1660.82	170.286	1504.41	3.42476e+11	2.09204e+10	4	10	7	0.999683	0.970285
3	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7559.458103	7564.181023	14	971.176	1184.86	213.687	992.942	7.43123e+10	1.99932e+10	5	15	11	0.999914	0.860365
4	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7559.458494	7564.181414	14	812.629	909.981	97.3524	909.981	5.69454e+10	1.93065e+10	6	15	10	0.999755	0.869479
5	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7560.447239	7565.183486	73	822.86	1189.74	366.883	903.324	5.37089e+11	1.84719e+10	5	15	11	0.971725	0.853982
6	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	6805.461332	6809.755770	39	2205.09	2436.95	231.855	2324.27	2.45462e+11	1.72365e+10	5	12	8	0.999525	0.946163
7	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	6620.456504	6624.545504	16	1454.97	1592.73	137.766	1477.47	6.9404e+10	1.61767e+10	5	13	9	0.997564	0.988655
8	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7575.453963	7580.190210	16	807.834	992.942	185.108	826.646	4.17723e+10	1.56572e+10	5	15	11	0.999363	0.882499
9	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7591.426817	7596.174261	22	1023.34	1254.72	231.384	1099.09	1.04625e+11	1.4987e+10	5	15	11	0.999356	0.884735
10	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7935.728842	7940.686672	31	1051.59	1263.9	212.308	1141.81	1.49107e+11	1.44803e+10	6	15	10	0.999364	0.941747
11	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	8098.797833	8103.847092	16	1291.68	1369	77.3202	1348.18	9.84732e+10	1.3625e+10	6	16	11	0.99968	0.903517
12	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	5420.721896	5424.108163	13	1507.33	1623.38	116.051	1534.73	5.50696e+10	1.25174e+10	4	10	7	0.977947	0.918307
13	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7592.419391	7597.166834	26	1023.34	1189.74	166.404	1097.85	1.16102e+11	1.16551e+10	6	15	10	0.971277	0.869689
14	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7576.446604	7581.182852	24	807.834	977.534	169.7	826.646	5.95894e+10	1.10689e+10	6	15	10	0.970244	0.86985
15	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	6806.474886	6810.769323	19	2314.05	2436.95	122.895	2329.17	7.15856e+10	1.03179e+10	5	11	7	0.960263	0.885021
16	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7936.745771	7941.703601	17	1108.85	1240.93	132.076	1121.97	6.72683e+10	1.02039e+10	6	15	10	0.973616	0.916642
17	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	6621.446873	6625.535873	17	1454.97	1606.82	151.851	1482.5	4.44666e+10	9.9125e+09	5	13	9	0.940741	0.987211
