FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1	20160406_L_VC_ColF18_Exp17_01.mzML	9529.170490	9535.152011	116	3871.37	4430.58	559.213	3895.19	6.26247e+11	1.47e+10	6	17	12	0.996528	0.989871
2	20160406_L_VC_ColF18_Exp17_01.mzML	7268.978026	7273.544230	53	3669.36	3868.86	199.506	3726.11	3.9229e+11	1.29099e+10	5	13	9	0.998481	0.953689
3	20160406_L_VC_ColF18_Exp17_01.mzML	9219.966799	9225.679557	180	4446.74	5411.13	964.386	4462.3	5.01628e+11	1.17652e+10	6	16	11	0.998109	0.989374
4	20160406_L_VC_ColF18_Exp17_01.mzML	10644.523821	10651.181483	19	3799.48	3884.39	84.9127	3839.85	6.86059e+10	1.12413e+10	7	19	13	0.998738	0.989786
5	20160406_L_VC_ColF18_Exp17_01.mzML	7266.710510	7271.276713	12	3632.41	3669.36	36.9426	3655.91	9.24732e+10	9.97728e+09	5	12	8	0.995621	0.984149
6	20160406_L_VC_ColF18_Exp17_01.mzML	8872.631743	8878.145599	15	2917.39	3071.39	154.008	2927.24	2.53196e+10	8.82083e+09	6	16	11	0.999632	0.989258
7	20160406_L_VC_ColF18_Exp17_01.mzML	15398.980498	15408.616538	671	4611.4	7723.37	3111.97	4749.61	7.40475e+11	8.71925e+09	9	28	20	0.997451	0.993371
8	20160406_L_VC_ColF18_Exp17_01.mzML	17503.360305	17514.340075	31	4433.38	4549.5	116.122	4441.48	8.88418e+10	8.49852e+09	11	29	19	0.981521	0.950101
9	20160406_L_VC_ColF18_Exp17_01.mzML	9220.995111	9226.719271	88	4459.53	5013.22	553.683	4459.53	2.62868e+11	8.40232e+09	6	16	11	0.960356	0.991359
10	20160406_L_VC_ColF18_Exp17_01.mzML	12761.922856	12769.924789	21	3598.27	3669.36	71.0899	3619.14	8.4467e+10	8.30612e+09	8	23	16	0.995034	0.980117
11	20160406_L_VC_ColF18_Exp17_01.mzML	13720.328480	13728.901714	21	3204.3	3282.78	78.4857	3217.16	1.08335e+11	7.92657e+09	10	25	16	0.997522	0.939341
12	20160406_L_VC_ColF18_Exp17_01.mzML	6406.596748	6410.556321	38	2650.2	2879.02	228.822	2677.73	8.44796e+10	7.85289e+09	4	11	8	0.999524	0.983416
13	20160406_L_VC_ColF18_Exp17_01.mzML	9184.928638	9190.625311	53	3353.36	3641.74	288.375	3382.68	2.46908e+11	7.52674e+09	6	16	11	0.998074	0.981779
14	20160406_L_VC_ColF18_Exp17_01.mzML	8891.807196	8897.334549	42	2910.34	3118.93	208.591	2981.48	1.04311e+11	7.42659e+09	6	16	11	0.99871	0.978002
15	20160406_L_VC_ColF18_Exp17_01.mzML	6851.648307	6855.967703	12	2898.3	2937.19	38.8871	2904.49	3.79586e+10	7.04865e+09	5	12	8	0.998254	0.988732
16	20160406_L_VC_ColF18_Exp17_01.mzML	10292.656206	10299.092903	42	2701.2	2893.45	192.25	2718.59	1.47793e+11	6.58335e+09	6	18	13	0.999164	0.998171
17	20160406_L_VC_ColF18_Exp17_01.mzML	15397.979769	15407.615808	7	4607.74	4734.96	127.219	4734.96	2.06948e+10	6.39704e+09	12	27	13	0.966714	0.988226
18	20160406_L_VC_ColF18_Exp17_01.mzML	9530.224388	9536.205910	2	3871.37	3888.41	17.0445	3888.41	7.92349e+09	6.35907e+09	7	16	10	0.914582	0.973033
19	20160406_L_VC_ColF18_Exp17_01.mzML	10645.500318	10652.157980	4	3810.29	3853.45	43.1584	3853.45	9.67381e+09	6.18818e+09	8	19	12	0.945483	0.957045
20	20160406_L_VC_ColF18_Exp17_01.mzML	8873.606230	8879.120086	8	2890.71	2937.19	46.4765	2927.24	2.37023e+10	6.11839e+09	6	16	11	0.939894	0.949292
21	20160406_L_VC_ColF18_Exp17_01.mzML	9185.947846	9191.644519	52	3355.27	3583	227.724	3528.22	1.88396e+11	6.08404e+09	6	16	11	0.955997	0.988187
22	20160406_L_VC_ColF18_Exp17_01.mzML	10686.706164	10693.388813	21	2940.56	3068.93	128.375	2953.8	3.47948e+10	6.03422e+09	7	19	13	0.999209	0.9537
23	20160406_L_VC_ColF18_Exp17_01.mzML	10646.497945	10653.155608	6	3819.12	3863.92	44.8045	3839.85	1.33718e+10	5.89941e+09	8	19	12	0.928357	0.966867
24	20160406_L_VC_ColF18_Exp17_01.mzML	15400.002934	15409.650272	10	4624.92	4749.61	124.685	4713.77	3.76427e+10	5.69754e+09	9	25	16	0.937258	0.964937
25	20160406_L_VC_ColF18_Exp17_01.mzML	12645.579894	12653.515320	56	4180.3	4371.17	190.873	4253.7	1.79734e+11	5.64392e+09	8	22	15	0.998298	0.977525
26	20160406_L_VC_ColF18_Exp17_01.mzML	16008.521400	16018.531902	58	3295.38	3583	287.62	3314.75	1.33485e+11	5.34719e+09	10	29	20	0.999214	0.996653
27	20160406_L_VC_ColF18_Exp17_01.mzML	9530.219126	9536.200647	16	3957.81	4164.87	207.064	4002.14	4.3103e+10	5.23988e+09	7	17	11	0.95149	0.966233
28	20160406_L_VC_ColF18_Exp17_01.mzML	13721.308052	13729.881286	14	3201.28	3288.64	87.3582	3236.64	3.57291e+10	5.23835e+09	8	25	17	0.957019	0.96616
29	20160406_L_VC_ColF18_Exp17_01.mzML	12760.988204	12768.990137	10	3599.71	3667.17	67.4619	3619.14	2.08451e+10	5.05809e+09	8	22	15	0.994017	0.976202
30	20160406_L_VC_ColF18_Exp17_01.mzML	8923.798786	8929.342411	16	2990.41	3065.46	75.0494	3042.12	3.92212e+10	5.01765e+09	6	16	11	0.997957	0.980251
31	20160406_L_VC_ColF18_Exp17_01.mzML	9566.223557	9572.241951	6	3080.2	3104.03	23.8327	3104.03	1.52948e+10	4.9878e+09	7	17	11	0.994525	0.982867
32	20160406_L_VC_ColF18_Exp17_01.mzML	12994.132063	13002.263912	28	3107.2	3198.17	90.9714	3181.82	8.96079e+10	4.64817e+09	8	23	16	0.996455	0.988595
33	20160406_L_VC_ColF18_Exp17_01.mzML	19874.627694	19886.996699	9	4373.73	4425.65	51.9237	4396.42	1.73262e+10	4.60769e+09	14	36	23	0.996165	0.983065
34	20160406_L_VC_ColF18_Exp17_01.mzML	9222.013221	9227.737382	25	4486.57	4760.74	274.168	4621.17	7.22557e+10	4.57767e+09	7	16	10	0.864257	0.972914
35	20160406_L_VC_ColF18_Exp17_01.mzML	9567.219765	9573.238158	34	3083.52	3267	183.482	3100.74	5.02419e+10	4.56407e+09	6	17	12	0.994272	0.984615
36	20160406_L_VC_ColF18_Exp17_01.mzML	10641.636166	10648.293828	13	4156.39	4206.35	49.9571	4174.13	2.67839e+10	4.54056e+09	7	19	13	0.998942	0.980609
37	20160406_L_VC_ColF18_Exp17_01.mzML	8869.819193	8875.333049	57	2313.93	2642.11	328.173	2338.06	5.78543e+10	4.51367e+09	6	16	11	0.998664	0.98243
38	20160406_L_VC_ColF18_Exp17_01.mzML	19875.611786	19887.980791	12	4373.73	4425.65	51.9237	4392.03	2.21921e+10	4.40728e+09	13	35	23	0.996409	0.994518
39	20160406_L_VC_ColF18_Exp17_01.mzML	8892.779340	8898.306694	27	2934.19	3086.55	152.358	3001.97	5.65602e+10	4.32632e+09	7	16	10	0.949956	0.969764
40	20160406_L_VC_ColF18_Exp17_01.mzML	14860.967478	14870.295197	28	5016.62	5156.27	139.648	5029.64	5.56212e+10	4.1436e+09	9	26	17	0.999688	0.998912
41	20160406_L_VC_ColF18_Exp17_01.mzML	12994.405840	13002.537688	9	3285.58	3312.37	26.7985	3292.64	1.93109e+10	4.12927e+09	8	22	15	0.996818	0.948023
42	20160406_L_VC_ColF18_Exp17_01.mzML	13722.318994	13730.892228	3	3214.33	3273.51	59.1873	3214.33	6.82283e+09	4.07452e+09	12	24	13	0.902375	0.960899
43	20160406_L_VC_ColF18_Exp17_01.mzML	11179.271418	11186.231017	28	2483.32	2598.46	115.135	2483.32	4.89894e+10	4.07263e+09	8	20	13	0.93998	0.990292
44	20160406_L_VC_ColF18_Exp17_01.mzML	8113.279891	8118.340566	18	3307.9	3391.8	83.9001	3334	3.28733e+10	4.04285e+09	5	14	10	0.999579	0.94768
45	20160406_L_VC_ColF18_Exp17_01.mzML	9235.989392	9241.713553	5	4444.24	4454.42	10.1755	4448.93	1.22212e+10	3.95771e+09	7	16	10	0.99655	0.988187
46	20160406_L_VC_ColF18_Exp17_01.mzML	15401.025047	15410.672385	17	4637.73	4998.33	360.6	4725.54	3.93163e+10	3.95027e+09	11	27	17	0.894881	0.960209
47	20160406_L_VC_ColF18_Exp17_01.mzML	9531.259274	9537.240796	2	3912.64	3922.65	10.0114	3912.64	6.08227e+09	3.8995e+09	9	17	9	0.879224	0.936102
48	20160406_L_VC_ColF18_Exp17_01.mzML	18761.094334	18772.824802	19	4195.3	4291.23	95.9327	4211.12	3.71706e+10	3.80352e+09	13	32	20	0.996397	0.969283
49	20160406_L_VC_ColF18_Exp17_01.mzML	15397.977105	15407.613144	24	4886.58	5264.47	377.887	4886.58	2.31084e+10	3.78877e+09	10	27	17	0.994414	0.994935
50	20160406_L_VC_ColF18_Exp17_01.mzML	11178.249572	11185.209171	31	2473.09	2637.72	164.635	2505.41	4.09857e+10	3.76386e+09	7	20	14	0.995734	0.984059
51	20160406_L_VC_ColF18_Exp17_01.mzML	14971.304506	14980.693988	32	3863.92	4132.94	269.014	3872.75	2.24308e+10	3.73778e+09	9	27	19	0.994972	0.981685
52	20160406_L_VC_ColF18_Exp17_01.mzML	11192.207703	11199.178705	9	3542.83	3598.27	55.4367	3572.9	1.34525e+10	3.68924e+09	8	20	13	0.996575	0.986101
53	20160406_L_VC_ColF18_Exp17_01.mzML	12647.566449	12655.501875	4	4234.1	4302.13	68.0321	4234.1	7.03248e+09	3.55522e+09	8	19	12	0.931735	0.985198
54	20160406_L_VC_ColF18_Exp17_01.mzML	9223.015374	9228.739535	10	4584.33	4731.42	147.088	4617.9	1.90006e+10	3.48034e+09	7	16	10	0.826177	0.984555
55	20160406_L_VC_ColF18_Exp17_01.mzML	8320.089581	8325.280109	9	3244.37	3270.4	26.0264	3257.53	1.68128e+10	3.38491e+09	5	14	10	0.99886	0.958274
56	20160406_L_VC_ColF18_Exp17_01.mzML	14861.978656	14871.306375	11	5026.25	5116.41	90.1579	5058.44	2.62735e+10	3.3578e+09	9	26	18	0.97507	0.992847
57	20160406_L_VC_ColF18_Exp17_01.mzML	8924.787855	8930.331479	12	2974.44	3058.35	83.9051	3049.09	1.90537e+10	3.35351e+09	6	16	11	0.960407	0.969542
58	20160406_L_VC_ColF18_Exp17_01.mzML	15401.993972	15411.641310	17	4648.58	4911.91	263.328	4721.18	3.43881e+10	3.31508e+09	9	24	14	0.871551	0.976511
59	20160406_L_VC_ColF18_Exp17_01.mzML	8870.810120	8876.323976	21	2317.77	2477.06	159.291	2357.17	2.89526e+10	3.28543e+09	7	16	10	0.949185	0.973853
60	20160406_L_VC_ColF18_Exp17_01.mzML	16087.252675	16097.304163	14	4291.23	4347.51	56.2777	4326.01	2.55424e+10	3.25737e+09	10	27	18	0.998888	0.990001
61	20160406_L_VC_ColF18_Exp17_01.mzML	7859.185937	7864.090826	47	4149.7	4353.8	204.099	4164.87	2.60036e+10	3.20727e+09	5	13	9	0.998178	0.998257
62	20160406_L_VC_ColF18_Exp17_01.mzML	8922.797446	8928.341071	15	2998.17	3077.01	78.848	3036.42	1.51692e+10	3.20624e+09	7	16	10	0.988618	0.99031
63	20160406_L_VC_ColF18_Exp17_01.mzML	6250.588515	6254.456837	792	970.263	1735	764.737	978.577	6.05136e+10	3.19153e+09	4	11	8	0.998471	0.98952
64	20160406_L_VC_ColF18_Exp17_01.mzML	13751.285950	13759.870514	11	3257.53	3288.64	31.1028	3275.5	1.67402e+10	3.17243e+09	10	25	16	0.995275	0.98226
65	20160406_L_VC_ColF18_Exp17_01.mzML	9186.959579	9192.656252	24	3369.77	3577.63	207.856	3372.71	5.34325e+10	3.16615e+09	7	16	10	0.865019	0.986347
66	20160406_L_VC_ColF18_Exp17_01.mzML	9545.185991	9551.192907	7	3863.92	3881.91	17.984	3872.75	1.32455e+10	3.15124e+09	7	17	11	0.995267	0.997097
67	20160406_L_VC_ColF18_Exp17_01.mzML	12644.575283	12652.510709	2	4183.17	4201.2	18.0286	4201.2	3.84319e+09	3.11095e+09	8	20	13	0.9906	0.961171
68	20160406_L_VC_ColF18_Exp17_01.mzML	6408.592968	6412.552541	2	2668.06	2705.49	37.4282	2668.06	4.19493e+09	3.07746e+09	5	11	7	0.888804	0.899906
69	20160406_L_VC_ColF18_Exp17_01.mzML	11215.906606	11222.889006	34	4231.2	4422.81	191.611	4279	6.74916e+10	3.07614e+09	7	20	14	0.997913	0.997629
70	20160406_L_VC_ColF18_Exp17_01.mzML	8888.613555	8894.140908	15	2883.32	2927.24	43.9219	2893.45	9.70271e+09	3.03593e+09	6	16	11	0.999448	0.986188
71	20160406_L_VC_ColF18_Exp17_01.mzML	12995.357527	13003.489376	3	3285.58	3297.61	12.0362	3297.61	4.70728e+09	3.00219e+09	8	20	13	0.963825	0.959878
72	20160406_L_VC_ColF18_Exp17_01.mzML	9533.196447	9539.177969	2	3951.04	3996.93	45.8924	3951.04	4.17138e+09	2.99782e+09	9	16	8	0.788957	0.985002
73	20160406_L_VC_ColF18_Exp17_01.mzML	7861.874183	7866.793079	12	2225.96	2280.13	54.17	2232.32	1.44444e+10	2.90792e+09	6	14	9	0.997919	0.962095
74	20160406_L_VC_ColF18_Exp17_01.mzML	18760.096068	18771.826535	34	4189.74	4401.91	212.179	4214.09	3.00115e+10	2.85495e+09	12	34	23	0.995906	0.973016
75	20160406_L_VC_ColF18_Exp17_01.mzML	10687.679600	10694.362249	12	2960.17	3042.12	81.9481	2960.17	1.66924e+10	2.77265e+09	7	19	13	0.953243	0.976336
76	20160406_L_VC_ColF18_Exp17_01.mzML	12859.883914	12867.936070	11	3599.71	3641.74	42.0304	3615.85	1.67285e+10	2.6957e+09	8	21	14	0.996454	0.994464
77	20160406_L_VC_ColF18_Exp17_01.mzML	9184.840568	9190.537241	2	3397.62	3444.64	47.0172	3444.64	5.2929e+09	2.68341e+09	7	16	10	0.994518	0.887513
78	20160406_L_VC_ColF18_Exp17_01.mzML	10688.700279	10695.382928	8	2945.45	3026.45	80.998	2963.51	1.25027e+10	2.63569e+09	8	19	12	0.925585	0.99672
79	20160406_L_VC_ColF18_Exp17_01.mzML	11193.216072	11200.187074	12	3552.61	3586.26	33.6577	3577.63	2.03915e+10	2.63279e+09	7	20	14	0.959115	0.992104
80	20160406_L_VC_ColF18_Exp17_01.mzML	12858.876723	12866.928879	7	3598.27	3655.91	57.6379	3613.15	4.07803e+09	2.61689e+09	9	22	14	0.99076	0.99242
81	20160406_L_VC_ColF18_Exp17_01.mzML	10743.591301	10750.301713	48	5275.73	5578.95	303.215	5291.4	2.21603e+10	2.51241e+09	7	18	12	0.998141	0.965791
82	20160406_L_VC_ColF18_Exp17_01.mzML	10308.671953	10315.120017	23	2613.67	2789.36	175.694	2650.2	1.48652e+10	2.49532e+09	8	18	11	0.998978	0.998956
83	20160406_L_VC_ColF18_Exp17_01.mzML	11216.926444	11223.908844	35	4246.85	4413.72	166.87	4279	5.0606e+10	2.45304e+09	8	19	12	0.953946	0.986548
84	20160406_L_VC_ColF18_Exp17_01.mzML	17518.258326	17529.238096	5	4411.04	4436.38	25.3468	4425.65	6.73891e+09	2.41918e+09	12	31	17	0.992148	0.941205
85	20160406_L_VC_ColF18_Exp17_01.mzML	7863.884819	7868.803715	64	2032.33	2442.38	410.05	2304.44	1.43761e+10	2.40795e+09	6	14	9	0.993597	0.968805
86	20160406_L_VC_ColF18_Exp17_01.mzML	18761.092543	18772.823011	12	4344.62	4388.1	43.4797	4364.65	1.25425e+10	2.40785e+09	11	31	20	0.994988	0.948076
87	20160406_L_VC_ColF18_Exp17_01.mzML	9184.832946	9190.529619	2	3502.07	3532.49	30.4234	3532.49	4.50832e+09	2.39174e+09	7	15	9	0.996481	0.837254
88	20160406_L_VC_ColF18_Exp17_01.mzML	17519.275288	17530.255057	12	4355.8	4433.38	77.5759	4427.87	1.4069e+10	2.3888e+09	11	30	20	0.995841	0.943098
89	20160406_L_VC_ColF18_Exp17_01.mzML	22242.811308	22256.681245	3	3815.16	3828.32	13.1563	3819.12	4.13757e+09	2.38331e+09	16	40	25	0.986726	0.965349
90	20160406_L_VC_ColF18_Exp17_01.mzML	10702.720234	10709.407716	8	2913.76	2942.6	28.8386	2940.56	1.00353e+10	2.37695e+09	8	19	12	0.998815	0.943639
91	20160406_L_VC_ColF18_Exp17_01.mzML	13723.320061	13731.893294	5	3207.76	3251.65	43.8926	3207.76	9.24393e+09	2.30738e+09	14	23	10	0.869084	0.981689
92	20160406_L_VC_ColF18_Exp17_01.mzML	7284.968859	7289.537314	19	3663.44	3760.19	96.7515	3672.13	1.12635e+10	2.28898e+09	5	13	9	0.995717	0.935466
